Nro;Tipo Doc;RUT Proveedor;Razon Social;Folio;Fecha Docto;Monto Neto;Monto IVA Recuperable;Monto Total
1;33;76123456-7;Comercial Rungue Carnes SpA;100245;05/05/2026;1850000;351500;2201500
2;33;77234567-8;Verduras del Agro Ltda;55012;06/05/2026;620000;117800;737800
3;33;78345678-9;Lacteos del Sur S.A.;88311;07/05/2026;430000;81700;511700
4;33;79456789-0;Pesquera San Antonio SpA;20455;09/05/2026;980000;186200;1166200
5;33;76567890-1;Distribuidora de Abarrotes Maxi Ltda;71200;12/05/2026;1340000;254600;1594600
6;33;90111000-6;Inmobiliaria Las Condes S.A.;4021;01/05/2026;2200000;418000;2618000
7;33;91222333-4;Enel Distribucion Chile S.A.;778451;04/05/2026;540000;102600;642600
8;33;61808000-5;Aguas Andinas S.A.;330122;05/05/2026;180000;34200;214200
9;33;92333444-5;Gasco GLP S.A.;120988;08/05/2026;260000;49400;309400
10;33;96670840-9;Transbank S.A.;5567120;31/05/2026;390000;74100;464100
11;33;76000111-2;Uber Chile SpA;889234;31/05/2026;610000;115900;725900
12;33;77888999-0;Clean Service Aseo Industrial Ltda;3340;14/05/2026;150000;28500;178500
13;33;78111222-3;Empaques y Packaging Delivery SpA;9912;16/05/2026;320000;60800;380800
14;33;77555666-7;Contadores Asociados Ltda;1180;30/05/2026;280000;53200;333200
15;33;79999000-1;Frio Service Mantencion SpA;6601;22/05/2026;240000;45600;285600
16;33;76123456-7;Comercial Rungue Carnes SpA;100512;02/06/2026;1920000;364800;2284800
17;33;77234567-8;Verduras del Agro Ltda;55890;03/06/2026;655000;124450;779450
18;61;77234567-8;Verduras del Agro Ltda;55905;04/06/2026;-90000;-17100;-107100
19;33;90111000-6;Inmobiliaria Las Condes S.A.;4102;01/06/2026;2200000;418000;2618000
20;33;91222333-4;Enel Distribucion Chile S.A.;781200;04/06/2026;575000;109250;684250
